Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,$50.00,"1,200","$600,000.00","$300,000.00",50%,In-store
Foot Locker,1185732,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,$50.00,"1,000","$500,000.00","$150,000.00",30%,In-store
Foot Locker,1185732,2020-01-03,Northeast,New York,New York,Women's Street Footwear,$40.00,"1,000","$400,000.00","$140,000.00",35%,In-store
Foot Locker,1185732,2020-01-04,Northeast,New York,New York,Women's Athletic Footwear,$45.00,850,"$382,500.00","$133,875.00",35%,In-store
Foot Locker,1185732,2020-01-05,Northeast,New York,New York,Men's Apparel,$60.00,900,"$540,000.00","$162,000.00",30%,In-store
Foot Locker,1185732,2020-01-06,Northeast,New York,New York,Women's Apparel,$50.00,"1,000","$500,000.00","$125,000.00",25%,In-store
Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Street Footwear,$50.00,"1,250","$625,000.00","$312,500.00",50%,In-store
Foot Locker,1185732,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,$50.00,900,"$450,000.00","$135,000.00",30%,Outlet
Foot Locker,1185732,2020-01-21,Northeast,New York,New York,Women's Street Footwear,$40.00,950,"$380,000.00","$133,000.00",35%,Outlet
Foot Locker,1185732,2020-01-22,Northeast,New York,New York,Women's Athletic Footwear,$45.00,825,"$371,250.00","$129,938.00",35%,Outlet
Foot Locker,1185732,2020-01-23,Northeast,New York,New York,Men's Apparel,$60.00,900,"$540,000.00","$162,000.00",30%,Outlet
Foot Locker,1185732,2020-01-24,Northeast,New York,New York,Women's Apparel,$50.00,"1,000","$500,000.00","$125,000.00",25%,Outlet
Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Street Footwear,$50.00,"1,220","$610,000.00","$305,000.00",50%,Outlet
Foot Locker,1185732,2020-01-26,Northeast,New York,New York,Men's Athletic Footwear,$50.00,925,"$462,500.00","$138,750.00",30%,Outlet
Foot Locker,1185732,2020-01-27,Northeast,New York,New York,Women's Street Footwear,$40.00,950,"$380,000.00","$133,000.00",35%,Outlet
Foot Locker,1185732,2020-01-28,Northeast,New York,New York,Women's Athletic Footwear,$45.00,800,"$360,000.00","$126,000.00",35%,Outlet
Foot Locker,1185732,2020-01-29,Northeast,New York,New York,Men's Apparel,$60.00,850,"$510,000.00","$153,000.00",30%,Outlet
Foot Locker,1185732,2020-01-30,Northeast,New York,New York,Women's Apparel,$50.00,950,"$475,000.00","$118,750.00",25%,Outlet
Foot Locker,1185732,2020-01-31,Northeast,New York,New York,Men's Street Footwear,$50.00,"1,200","$600,000.00","$300,000.00",50%,Outlet
Foot Locker,1185732,2020-02-01,Northeast,New York,New York,Men's Athletic Footwear,$50.00,900,"$450,000.00","$135,000.00",30%,Outlet
Foot Locker,1185732,2020-02-02,Northeast,New York,New York,Women's Street Footwear,$40.00,900,"$360,000.00","$126,000.00",35%,Outlet
Foot Locker,1185732,2020-02-03,Northeast,New York,New York,Women's Athletic Footwear,$45.00,825,"$371,250.00","$129,938.00",35%,Outlet
Foot Locker,1185732,2020-02-04,Northeast,New York,New York,Men's Apparel,$60.00,825,"$495,000.00","$148,500.00",30%,Outlet
Foot Locker,1185732,2020-02-05,Northeast,New York,New York,Women's Apparel,$50.00,950,"$475,000.00","$118,750.00",25%,Outlet
Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Street Footwear,$60.00,"1,220","$732,000.00","$366,000.00",50%,Outlet
Foot Locker,1185732,2020-02-07,Northeast,New York,New York,Men's Athletic Footwear,$55.00,925,"$508,750.00","$152,625.00",30%,Outlet
Foot Locker,1185732,2020-02-08,Northeast,New York,New York,Women's Street Footwear,$50.00,900,"$450,000.00","$157,500.00",35%,Outlet
Foot Locker,1185732,2020-02-09,Northeast,New York,New York,Women's Athletic Footwear,$50.00,850,"$425,000.00","$148,750.00",35%,Outlet
